date,county,state,fips,cases,deaths
2020-04-14,Los Angeles,California,06037,10047,360
2020-04-14,Harris,Texas,48201,3907,52
2020-04-14,Snohomish,Washington,53061,1949,77
2020-04-15,Los Angeles,California,06037,10496,402
2020-04-15,Harris,Texas,48201,4097,58
2020-04-15,Snohomish,Washington,53061,1987,80
2020-04-16,Los Angeles,California,06037,10854,455
2020-04-16,Harris,Texas,48201,4306,63
2020-04-16,Snohomish,Washington,53061,2031,85
2020-04-17,Los Angeles,California,06037,11391,495
2020-04-17,Harris,Texas,48201,4460,67
2020-04-17,Snohomish,Washington,53061,2055,87
2020-04-18,Los Angeles,California,06037,12021,576
2020-04-18,Harris,Texas,48201,4653,71
2020-04-18,Snohomish,Washington,53061,2092,92
2020-04-19,Los Angeles,California,06037,12341,600
2020-04-19,Harris,Texas,48201,4823,75
2020-04-19,Snohomish,Washington,53061,2142,92
2020-04-20,Los Angeles,California,06037,13816,617
2020-04-20,Harris,Texas,48201,4977,78
2020-04-20,Snohomish,Washington,53061,2162,96
2020-04-21,Los Angeles,California,06037,15140,663
2020-04-21,Harris,Texas,48201,5143,79
2020-04-21,Snohomish,Washington,53061,2162,98
2020-04-22,Los Angeles,California,06037,16435,729
2020-04-22,Harris,Texas,48201,5211,80
2020-04-22,Snohomish,Washington,53061,2208,98
2020-04-23,Los Angeles,California,06037,17508,797
2020-04-23,Harris,Texas,48201,5330,82
2020-04-23,Snohomish,Washington,53061,2239,99
2020-04-24,Los Angeles,California,06037,18545,850
2020-04-24,Harris,Texas,48201,5482,84
2020-04-24,Snohomish,Washington,53061,2267,102
2020-04-25,Los Angeles,California,06037,19107,895
2020-04-25,Harris,Texas,48201,5628,89
2020-04-25,Snohomish,Washington,53061,2297,103
2020-04-26,Los Angeles,California,06037,19528,913
2020-04-26,Harris,Texas,48201,5729,93
2020-04-26,Snohomish,Washington,53061,2311,104
2020-04-27,Los Angeles,California,06037,20417,942
2020-04-27,Harris,Texas,48201,5827,98
2020-04-27,Snohomish,Washington,53061,2355,106
2020-04-28,Los Angeles,California,06037,20976,1000
2020-04-28,Harris,Texas,48201,5986,103
2020-04-28,Snohomish,Washington,53061,2370,106
2020-04-29,Los Angeles,California,06037,22485,1056
2020-04-29,Harris,Texas,48201,6161,109
2020-04-29,Snohomish,Washington,53061,2416,106
2020-04-30,Los Angeles,California,06037,23182,1111
2020-04-30,Harris,Texas,48201,6356,114
2020-04-30,Snohomish,Washington,53061,2446,108
2020-05-01,Los Angeles,California,06037,24215,1172
2020-05-01,Harris,Texas,48201,6551,122
2020-05-01,Snohomish,Washington,53061,2466,108
